decision_date,execution_date,next_execution_date,fold_id,baseline_target_asset,baseline_symbol,baseline_gross_return,absolute_opportunity_score,all_horizon_risk_safety,horizon_agreement,base_asset,top_1_asset,top_2_asset,timing_override,base_short_profit,challenger_short_profit,from_asset,selected_asset,gate_reason,absolute_entry_threshold,absolute_exit_threshold,cash_reentry_threshold,minimum_risk_safety,minimum_horizon_agreement,reentry_confirmation_sessions,gross_return,net_return,cost_sides,loss_avoided_by_cash_usd,profit_missed_by_cash_usd,strategy_equity,strategy_drawdown
2026-06-11T04:00:00+00:00,2026-06-12T04:00:00+00:00,2026-06-15T04:00:00+00:00,3,CRM,CRM,0.007830520820687026,0.5963257327819043,0.12593743684388561,0.8666659177645124,CRM,CRM,GOOGL,False,0.6461860860499271,0.6228834837004377,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.007830520820687026,0.007830520820687026,0,0.0,0.0,1240269.2842918378,-0.15373688461817503
2026-06-12T04:00:00+00:00,2026-06-15T04:00:00+00:00,2026-06-16T04:00:00+00:00,3,CRM,CRM,-0.011895440583027161,0.6080594689375016,0.13664751709082235,0.908286275248471,CRM,CRM,NVDA,False,0.625,0.6746032650186498,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.011895440583027161,-0.011895440583027161,0,0.0,0.0,1225515.7347135907,-0.163803557224807
2026-06-15T04:00:00+00:00,2026-06-16T04:00:00+00:00,2026-06-17T04:00:00+00:00,3,CRM,CRM,-0.023193441223979816,0.6910953890998945,0.12840860881687746,0.9083291774360991,CRM,CRM,NVDA,False,0.8111772336080028,0.6081349658426582,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.023193441223979816,-0.023193441223979816,0,0.0,0.0,1197091.8075514485,-0.18319783027201453
2026-06-16T04:00:00+00:00,2026-06-17T04:00:00+00:00,2026-06-18T04:00:00+00:00,3,CRM,CRM,-0.046926677067082756,0.701692471703696,0.14650844139183292,0.8583791742234157,CRM,CRM,NVDA,False,0.830687800549339,0.6276455327839944,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.046926677067082756,-0.046926677067082756,0,0.0,0.0,1140916.2668788314,-0.22152764191853214
2026-06-17T04:00:00+00:00,2026-06-18T04:00:00+00:00,2026-06-22T04:00:00+00:00,3,CRM,CRM,-0.016827080468801103,0.7384800527541289,0.11513905690734773,0.9499904710107516,CRM,CRM,NVDA,False,0.8750000000000001,0.5,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.016827080468801103,-0.016827080468801103,0,0.0,0.0,1121717.9770478972,-0.23462705893070634
2026-06-18T04:00:00+00:00,2026-06-22T04:00:00+00:00,2026-06-23T04:00:00+00:00,3,CRM,CRM,0.009922749067661218,0.753212567607743,0.11173044809047027,0.9332912105438689,CRM,CRM,NFLX,False,0.936177233608003,0.8829365983519832,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.009922749067661218,0.009922749067661218,0,0.0,0.0,1132848.503058828,-0.22703245529329785
2026-06-22T04:00:00+00:00,2026-06-23T04:00:00+00:00,2026-06-24T04:00:00+00:00,3,CRM,CRM,0.0010550609957138413,0.6612265399394848,0.1152576174473285,0.834293456270616,CRM,CRM,NVDA,False,0.7889777460725177,0.4798388968152039,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.0010550609957138413,0.0010550609957138413,0,0.0,0.0,1134043.727328458,-0.22621692738592514
2026-06-23T04:00:00+00:00,2026-06-24T04:00:00+00:00,2026-06-25T04:00:00+00:00,3,CRM,CRM,-0.01185692642118441,0.7158087390786374,0.1290723515688473,0.8999852223369266,CRM,CRM,AVGO,False,0.8763444602970745,0.8306444127391844,CRM,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.01185692642118441,-0.01185692642118441,0,0.0,0.0,1120597.454295119,-0.23539161634386818
2026-06-24T04:00:00+00:00,2026-06-25T04:00:00+00:00,2026-06-26T04:00:00+00:00,3,AVGO,AVGO,-0.04171247494017982,0.6654900640826485,0.22639308999758376,0.7672903217745439,AVGO,AVGO,CRM,False,0.8091388492573138,0.6922056110397606,CRM,AVGO,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.04171247494017982,-0.04171247494017982,2,0.0,0.0,1073854.5610648044,-0.267285324386176
2026-06-25T04:00:00+00:00,2026-06-26T04:00:00+00:00,2026-06-29T04:00:00+00:00,3,AVGO,AVGO,0.008543663112430933,0.7629903392722301,0.23613547255025524,0.907724725263241,AVGO,CRM,AVGO,False,0.9368277698514628,0.9368277698514628,AVGO,AVGO,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.008543663112430933,0.008543663112430933,0,0.0,0.0,1083029.2126662896,-0.2610252570401973
2026-06-26T04:00:00+00:00,2026-06-29T04:00:00+00:00,2026-06-30T04:00:00+00:00,3,AVGO,AVGO,0.0031449486771142343,0.6365179380458801,0.17211423334838072,0.6922870265204168,AVGO,AVGO,NVDA,False,0.8077943889602395,0.5201611031847962,AVGO,AVGO,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.0031449486771142343,0.0031449486771142343,0,0.0,0.0,1086435.2839559405,-0.2587012193999051
