candidate_id,robust,beats_control_3pct_gate,ending_capital,capital_delta_vs_control,capital_lift_vs_control,cagr,sharpe,maximum_drawdown,worst_fold_return,capital_rotations,market_exposure,cash_days,loss_avoided_by_cash_usd,profit_missed_by_cash_usd,net_cash_edge_usd,cash_intervention_sessions,absolute_entry_threshold,absolute_exit_discount,absolute_exit_threshold,cash_reentry_premium,minimum_risk_safety,minimum_horizon_agreement,reentry_confirmation_sessions,fold_1_return,fold_1_max_drawdown,fold_2_return,fold_2_max_drawdown,fold_3_return,fold_3_max_drawdown,is_control,rank
21,False,False,17218.61240247716,-1301137.674857733,-0.9869393330400383,0.09433872271551258,0.6724783631165222,-0.16073183786497702,0.0,41,0.07965766951942067,1398,153969.32746850495,219194.85844178684,-65225.530973281886,1398,0.747125,0.104338,0.642787,0.019992,0.014575,0.544469,2,0.34001395656382094,-0.16073183786497702,0.0,0.0,0.28495769153260264,-0.15706364867385436,False,722
30,False,False,17186.751395325908,-1301169.5358648843,-0.9869635002605834,0.09400252769223494,0.9443124811040892,-0.11361714124612354,0.018770144726031557,47,0.09150757077024359,1380,139256.9831678016,193954.0955633067,-54697.1123955051,1380,0.659651,0.158489,0.501162,0.087756,0.241202,0.384831,1,0.09709538412691598,-0.11361714124612354,0.018770144726031557,0.0,0.537705606356605,-0.06826240179331611,False,723
899,False,False,17156.590462139422,-1301199.6967980708,-0.9869863779405232,0.09368379240401614,0.5535795753833777,-0.22309216491288808,0.0,67,0.1988150098749177,1217,120227.43889612157,176408.4624348858,-56181.02353876422,1217,0.662263,0.179767,0.48249600000000004,0.047044,0.086884,0.691516,3,0.0876376539761472,-0.1969923428042435,0.0,0.0,0.5774178467818742,-0.22309216491288786,False,724
106,False,False,17126.561523954628,-1301229.7257362555,-0.9870091554995754,0.09336598736788382,0.8943033405675863,-0.10876296640346794,0.0,23,0.040157998683344305,1458,150655.75876479445,210178.91552071195,-59523.1567559175,1458,0.736223,0.163794,0.572429,0.069596,0.022988,0.748463,1,0.16038334485400774,-0.04112098439757783,0.0,0.0,0.475939964142573,-0.10876296640346794,False,725
433,False,False,17085.84422186902,-1301270.4430383411,-0.9870400403995672,0.09293432105029376,0.4845633363674834,-0.34945447624630044,-0.09400974668574813,105,0.2672811059907834,1113,91625.17652577187,139206.74233739995,-47581.56581162808,1113,0.694004,0.261219,0.432785,0.03977,0.033626,0.195683,2,-0.09400974668574813,-0.34945447624630044,0.0,0.0,0.8858750587400239,-0.21365812443506738,False,726
664,False,False,17031.512808266605,-1301324.7744519436,-0.9870812518794435,0.09235698578472684,0.6868429636761001,-0.15082738012849128,-0.04559159497535348,136,0.19420671494404212,1224,137196.0338561323,196645.1087184715,-59449.074862339214,1224,0.520652,0.264087,0.256565,0.071391,0.287568,0.526064,2,0.21311986404751715,-0.15082738012849128,-0.04559159497535348,-0.09920355830209471,0.47100875016533816,-0.1310405245849081,False,727
583,False,False,17016.854497417007,-1301339.432762793,-0.9870923705057142,0.0922009608541503,0.9661790767231372,-0.12519146901820744,0.018770144726031557,61,0.08097432521395655,1396,144875.4647946961,202142.35908681678,-57266.894292120676,1396,0.732343,0.076847,0.655496,0.002187,0.237055,0.190712,1,0.12903533683320667,-0.06407383159989022,0.018770144726031557,0.0,0.47943381578739475,-0.12519146901820744,False,728
924,False,False,17013.394576625746,-1301342.8926835845,-0.9870949949258536,0.09216411666342905,0.910580119814707,-0.11361714124612343,0.018770144726031557,49,0.09414088215931533,1376,143647.80264583798,201165.67723470638,-57517.874588868406,1376,0.698289,0.13125,0.5670390000000001,0.040604,0.265935,0.075301,1,0.14946098681678688,-0.11361714124612343,0.018770144726031557,0.0,0.45284916867298053,-0.11049272427042389,False,729
701,False,False,17005.89603191515,-1301350.391228295,-0.9871006827242,0.09208424430203022,0.7931471500267866,-0.1386737479042115,0.08871194154116901,93,0.14944042132982224,1292,142403.67121569335,202093.5583952194,-59689.887179526064,1292,0.587038,0.096048,0.4909899999999999,0.051389,0.288416,0.72994,2,0.16033787147767198,-0.1386737479042115,0.08871194154116901,-0.054947854714572975,0.3461766894730651,-0.08047567859547167,False,730
925,False,False,16994.34621864435,-1301361.9410415657,-0.98710944349197,0.09196116149344591,0.6525200817278575,-0.21546604923815782,0.018770144726031557,58,0.12771560236998025,1325,134372.2459954224,191418.67582014197,-57046.429824719584,1325,0.747735,0.211927,0.5358080000000001,0.016503,0.140813,0.408247,1,0.0900382840935432,-0.21546604923815782,0.018770144726031557,0.0,0.5303349643426416,-0.10876296640346794,False,731
